anio,departamento/sede,tipo,valor
2019,SAN MARTIN,Sentencia,4274
2019,SAN NICOLAS,Sentencia,770
2019,TRENQUE LAUQUEN,Sentencia,203
2019,ZARATE-CAMPANA,Sentencia,714
2019,AZUL,Conciliación,21
2019,AZUL Sede OLAVARRIA,Conciliación,62
2019,AZUL Sede TANDIL,Conciliación,44
2019,BAHIA BLANCA,Conciliación,64
2019,BAHIA BLANCA Sede TRES ARROYOS,Conciliación,9
2019,DOLORES,Conciliación,138
2019,JUNIN,Conciliación,53
2019,LA MATANZA,Conciliación,181
2019,LA PLATA,Conciliación,738
2019,LOMAS DE ZAMORA,Conciliación,765
2019,LOMAS DE ZAMORA Sede AVELLANEDA,Conciliación,127
2019,LOMAS DE ZAMORA Sede LANUS,Conciliación,97
2019,MAR DEL PLATA,Conciliación,330
2019,MERCEDES,Conciliación,180
2019,MORENO-GRAL.RODRIGUEZ,Conciliación,52
2019,MORON,Conciliación,193
2019,NECOCHEA,Conciliación,61
2019,PERGAMINO,Conciliación,26
2019,QUILMES,Conciliación,219
2019,SAN ISIDRO,Conciliación,393
2019,SAN MARTIN,Conciliación,173
2019,SAN NICOLAS,Conciliación,42
2019,TRENQUE LAUQUEN,Conciliación,57
2019,ZARATE-CAMPANA,Conciliación,51
2019,AZUL,Allanamiento,3
2019,AZUL Sede OLAVARRIA,Allanamiento,2
2019,AZUL Sede TANDIL,Allanamiento,1
2019,BAHIA BLANCA,Allanamiento,0
2019,BAHIA BLANCA Sede TRES ARROYOS,Allanamiento,27
2019,DOLORES,Allanamiento,7
2019,JUNIN,Allanamiento,7
2019,LA MATANZA,Allanamiento,1
2019,LA PLATA,Allanamiento,10
2019,LOMAS DE ZAMORA,Allanamiento,2
2019,LOMAS DE ZAMORA Sede AVELLANEDA,Allanamiento,0
2019,LOMAS DE ZAMORA Sede LANUS,Allanamiento,1
2019,MAR DEL PLATA,Allanamiento,7
2019,MERCEDES,Allanamiento,3
2019,MORENO-GRAL.RODRIGUEZ,Allanamiento,0
2019,MORON,Allanamiento,5
2019,NECOCHEA,Allanamiento,5
2019,PERGAMINO,Allanamiento,2
2019,QUILMES,Allanamiento,6
2019,SAN ISIDRO,Allanamiento,31
2019,SAN MARTIN,Allanamiento,2
2019,SAN NICOLAS,Allanamiento,0
2019,TRENQUE LAUQUEN,Allanamiento,3
2019,ZARATE-CAMPANA,Allanamiento,1
2019,AZUL,Transacción,141
2019,AZUL Sede OLAVARRIA,Transacción,68
2019,AZUL Sede TANDIL,Transacción,40
2019,BAHIA BLANCA,Transacción,103
2019,BAHIA BLANCA Sede TRES ARROYOS,Transacción,34
2019,DOLORES,Transacción,102
2019,JUNIN,Transacción,183
2019,LA MATANZA,Transacción,310
2019,LA PLATA,Transacción,577
2019,LOMAS DE ZAMORA,Transacción,729
2019,LOMAS DE ZAMORA Sede AVELLANEDA,Transacción,35
2019,LOMAS DE ZAMORA Sede LANUS,Transacción,139
2019,MAR DEL PLATA,Transacción,344
2019,MERCEDES,Transacción,327
2019,MORENO-GRAL.RODRIGUEZ,Transacción,69
2019,MORON,Transacción,860
2019,NECOCHEA,Transacción,45
2019,PERGAMINO,Transacción,71
