anio,departamento/sede,tipo,valor
2018,SAN ISIDRO Sede PILAR,Allanamiento,1
2018,SAN MARTIN,Allanamiento,4
2018,SAN MARTIN Sede SAN MIGUEL,Allanamiento,1
2018,SAN NICOLAS,Allanamiento,0
2018,TRENQUE LAUQUEN,Allanamiento,0
2018,ZARATE-CAMPANA Sede CAMPANA,Allanamiento,1
2018,ZARATE-CAMPANA Sede ZARATE,Allanamiento,2
2018,AZUL,Transacción,0
2018,AZUL Sede OLAVARRIA,Transacción,0
2018,AZUL Sede TANDIL,Transacción,0
2018,BAHIA BLANCA,Transacción,0
2018,BAHIA BLANCA Sede TRES ARROYOS,Transacción,88
2018,DOLORES,Transacción,0
2018,JUNIN,Transacción,0
2018,LA MATANZA,Transacción,1
2018,LA PLATA,Transacción,368
2018,LOMAS DE ZAMORA,Transacción,720
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Transacción,61
2018,LOMAS DE ZAMORA Sede LANUS,Transacción,0
2018,MAR DEL PLATA,Transacción,998
2018,MERCEDES,Transacción,0
2018,MERCEDES Sede BRAGADO,Transacción,0
2018,MORENO-GRAL.RODRIGUEZ,Transacción,0
2018,MORON,Transacción,0
2018,NECOCHEA,Transacción,0
2018,PERGAMINO,Transacción,0
2018,QUILMES,Transacción,770
2018,QUILMES Sede FLORENCIO VARELA,Transacción,0
2018,SAN ISIDRO,Transacción,1060
2018,SAN ISIDRO Sede PILAR,Transacción,0
2018,SAN MARTIN,Transacción,440
2018,SAN MARTIN Sede SAN MIGUEL,Transacción,39
2018,SAN NICOLAS,Transacción,0
2018,TRENQUE LAUQUEN,Transacción,0
2018,ZARATE-CAMPANA Sede CAMPANA,Transacción,19
2018,ZARATE-CAMPANA Sede ZARATE,Transacción,0
2018,AZUL,Caducidad,2
2018,AZUL Sede OLAVARRIA,Caducidad,10
2018,AZUL Sede TANDIL,Caducidad,0
2018,BAHIA BLANCA,Caducidad,51
2018,BAHIA BLANCA Sede TRES ARROYOS,Caducidad,11
2018,DOLORES,Caducidad,64
2018,JUNIN,Caducidad,142
2018,LA MATANZA,Caducidad,890
2018,LA PLATA,Caducidad,48
2018,LOMAS DE ZAMORA,Caducidad,149
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Caducidad,326
2018,LOMAS DE ZAMORA Sede LANUS,Caducidad,169
2018,MAR DEL PLATA,Caducidad,2
2018,MERCEDES,Caducidad,70
2018,MERCEDES Sede BRAGADO,Caducidad,43
2018,MORENO-GRAL.RODRIGUEZ,Caducidad,9
2018,MORON,Caducidad,292
2018,NECOCHEA,Caducidad,1
2018,PERGAMINO,Caducidad,4
2018,QUILMES,Caducidad,491
